X,Y,Number,Letter,Angle,Distance,Type,Rotation
-3650.594482421875,1193.7841796875,1,,-176.6327301808908,338.10326956728517,corners,44.0
-3555.05322265625,1992.750244140625,2,,-1.517006670514226,434.7222467657145,corners,44.0
-7194.97021484375,7101.9423828125,3,,162.2583145895855,1066.5259851272883,corners,44.0
-5878.734375,7709.86474609375,4,,-23.426262936440693,1223.4052368012926,corners,44.0
-5870.66259765625,9676.8056640625,5,,159.21595924901473,1420.5103140114377,corners,44.0
-2280.641357421875,11861.5595703125,6,,96.73626629832673,1849.0541490215621,corners,44.0
-1296.3824462890625,11398.0087890625,7,,-104.06590313985107,1947.1402767918537,corners,44.0
502.41253662109375,10576.3115234375,8,,39.145641733921856,2143.7508118671626,corners,44.0
2838.84375,798.9598388671875,9,,-101.19733361565356,3242.7737325697203,corners,44.0
3973.896484375,855.0198974609375,10,,73.47677062265704,3358.1356720848266,corners,44.0
7489.130859375,-4851.34521484375,11,,-15.779635368175516,4068.7501528008206,corners,44.0
5020.2177734375,-5538.8876953125,12,,-106.08289509535402,4331.423454788518,corners,44.0
3587.2265625,-3634.0,13,,89.83929687485767,4567.903898661992,corners,44.0
2300.2841796875,-4454.0234375,14,,-97.4032457365232,4737.71560294199,corners,44.0
-1200.06787109375,-1327.1256103515625,1,,-132.85728315420926,3.4202028906822877,lights,44.0
-2891.360595703125,276.7440185546875,2,,-133.3584232129819,257.20633575969305,lights,44.0
-3788.00439453125,2744.4169921875,3,,35.09703148150907,506.4065773310626,lights,44.0
-5157.8349609375,4075.304443359375,4,,-135.79111207755284,703.1467460398628,lights,44.0
-6885.134765625,6285.9755859375,5,,-146.39266491868455,977.8208889770502,lights,44.0
-6320.72314453125,7395.81689453125,6,,-73.56660154315365,1160.4331877429238,lights,44.0
-5947.0,9210.0947265625,7,,-177.9055047150245,1362.7141134775527,lights,44.0
-4926.84912109375,10590.990234375,8,,122.44510880466925,1554.9345662919677,lights,44.0
-3474.6982421875,11290.357421875,9,,113.41576714538542,1714.5114101422882,lights,44.0
-504.1057434082031,11226.0283203125,10,,74.13109139340901,2034.7246206903958,lights,44.0
1149.6241455078125,8755.1533203125,11,,7.0536583611363675,2329.1120336314525,lights,44.0
494.33282470703125,5779.2412109375,12,,154.5104108579042,2642.9529897548855,lights,44.0
406.4137268066406,3616.448486328125,13,,-166.1161100793303,2857.510624308318,lights,44.0
1989.657958984375,1349.3016357421875,14,,-129.50692609692845,3152.4177576693082,lights,44.0
3527.99462890625,848.884521484375,15,,91.52712648224441,3322.5321121147745,lights,44.0
6420.01708984375,-1352.264892578125,16,,29.39932846914089,3700.282499153602,lights,44.0
7195.36376953125,-3446.3310546875,17,,18.13010584695924,3922.5652699876755,lights,44.0
6079.7451171875,-5367.66845703125,18,,-74.96859403901651,4220.116267063014,lights,44.0
3962.527587890625,-4043.96533203125,19,,27.30910753476001,4518.374512740471,lights,44.0
2935.0,-4245.71728515625,20,,-43.69157763695759,4659.739672054811,lights,44.0
-1185.0,-1341.0,1,,-128.91793170608514,3.4202028906822877,sectors,44.0
-2897.316162109375,282.3703918457031,2,,-133.39770213493657,257.20633575969305,sectors,44.0
-3816.246826171875,2784.653076171875,3,,34.94684248617441,506.4065773310626,sectors,44.0
-5106.5517578125,4022.3212890625,4,,-136.08232868540006,673.6268288107356,sectors,44.0
-6851.27294921875,6234.69921875,5,,-146.2551691259889,965.6008712436341,sectors,44.0
-6348.359375,7388.1748046875,6,,-75.58025509911917,1160.4331877429238,sectors,44.0
-5947.0,9210.0947265625,7,,179.87952660397895,1362.7141134775527,sectors,44.0
-4930.30712890625,10588.7939453125,8,,123.76811625367651,1554.9345662919677,sectors,44.0
-3455.983642578125,11298.6796875,9,,114.64306373485252,1714.5114101422882,sectors,44.0
-375.0901794433594,11185.6640625,10,,72.48637235657803,2034.7246206903958,sectors,44.0
1152.09326171875,8734.8203125,11,,6.960332473590043,2329.1120336314525,sectors,44.0
531.9359130859375,5861.13623046875,12,,155.92037879752093,2642.9529897548855,sectors,44.0
381.896728515625,3724.301513671875,13,,-167.22899526992987,2857.510624308318,sectors,44.0
2043.3704833984375,1304.975830078125,14,,-129.64005413572556,3161.103355910419,sectors,44.0
3740.939697265625,854.5201416015625,15,,91.4790834558628,3343.8096179522745,sectors,44.0
6430.1123046875,-1370.0889892578125,16,,29.552475582639428,3700.282499153602,sectors,44.0
7169.92822265625,-3368.44970703125,17,,18.113525306458506,3922.5652699876755,sectors,44.0
5941.14453125,-5404.3623046875,18,,-75.4346269198602,4220.116267063014,sectors,44.0
3919.87841796875,-3964.5810546875,19,,29.374457223156586,4518.374512740471,sectors,44.0
2894.992919921875,-4280.79541015625,20,,-50.09435957210128,4676.014578395876,sectors,44.0
