X,Y,Number,Letter,Angle,Distance,Type,Rotation
-3875.8803543388667,940.6145863310726,1,,-280.2691487211374,443.6870309027855,corners,0.0
-4778.445772562185,583.518104034581,2,,-71.78399797526572,537.971068742503,corners,0.0
-9698.041544087078,3189.495312516554,3,,-153.80095141909044,1125.067029794948,corners,0.0
-10002.888943180831,4069.2347593156182,4,,-127.03853891311576,1192.764280928709,corners,0.0
-11038.434876845022,4230.068337320626,5,,-152.22678664140744,1268.7415632536065,corners,0.0
-10514.404116569563,5273.321606103762,6,,-263.45067909448903,1508.1930595487006,corners,0.0
-8997.205444523974,3871.434971207833,7,,-316.8442623710048,1806.7022284904676,corners,0.0
1168.4274280279105,406.52868079089194,8,,-81.93951750033295,2809.4313072525597,corners,0.0
1890.657110499762,721.7382679339134,9,,-278.936077686447,2871.3814901694936,corners,0.0
9433.774740424826,-2630.987220051376,10,,-317.8506593716701,3860.987732060068,corners,0.0
8822.546802013514,-6915.538493025753,11,,-96.95634507564199,4231.950723288341,corners,0.0
8770.438108508657,-3480.0457782046815,12,,-266.506140097768,4613.261622087961,corners,0.0
6740.8455871033475,-3937.257768462207,13,,-91.0705072214887,4903.069430598327,corners,0.0
4513.234731927232,-2980.1445102808757,14,,-263.0606216687262,5142.623224718887,corners,0.0
3797.2158169349395,-4305.922816127109,15,,-65.17839504960773,5281.639746176872,corners,0.0
252.89005037444213,-1878.193190009931,1,,-124.41146724329786,9.681816257599714,lights,0.0
-2941.906590300759,379.18787504972624,2,,-132.35318736208,376.0479938450185,lights,0.0
-6629.448377893426,1434.355286855921,3,,-127.3721857422633,793.7702194661331,lights,0.0
-8918.97349017602,2708.3854230140546,4,,-292.72985689298673,1074.0440153389343,lights,0.0
-10997.099517292128,4166.437535282013,5,,-134.17401927758317,1268.7415632536065,lights,0.0
-10179.76774061181,5221.886201189187,6,,-285.73484081272943,1543.0821789178424,lights,0.0
-8223.099953383346,3450.146309370375,7,,-288.1955129680785,1876.186599107267,lights,0.0
-4282.699561149192,2148.773224984502,8,,-288.8779915366165,2321.5824539148066,lights,0.0
-332.84499839670605,765.6539871696821,9,,-110.01498128460662,2750.720237313845,lights,0.0
3551.8420669548227,-443.2686247797443,10,,-115.91180800986007,3171.0243317435734,lights,0.0
7142.227028125598,-1683.3702221705594,11,,-286.96542321258437,3661.1270825300303,lights,0.0
9678.49137850835,-2987.9573654728965,12,,-332.07014344770846,3910.955213425024,lights,0.0
9556.534991290879,-6668.48976995776,13,,-52.61786198841139,4198.512148863117,lights,0.0
8228.609829837476,-6495.121641772661,14,,-155.9784500777655,4276.727989893591,lights,0.0
9148.845735669205,-3733.6917111820585,15,,-338.7342017275916,4602.000509920167,lights,0.0
8132.919505498521,-3715.8668834024656,16,,-247.39409940597108,4710.794175337024,lights,0.0
4914.620155109491,-3011.285355000541,17,,-290.1733537546593,5111.617507624249,lights,0.0
3892.499811027321,-4248.499953450616,18,,-48.31620720274873,5274.718584924804,lights,0.0
2296.721976508259,-3314.831869912513,19,,-125.83447838657128,5368.152836783388,lights,0.0
124.07359350401725,-1788.9781975180936,1,,-124.53856055479929,9.681816257599714,sectors,0.0
-3158.8649559382566,566.256373204425,2,,-127.86970851499495,394.98268210370054,sectors,0.0
-6859.232552068247,1605.5211143428205,3,,-126.39477377204662,816.8514160296438,sectors,0.0
-9199.277391524516,2827.2291265389736,4,,-290.83503464791465,1092.119551390012,sectors,0.0
-11057.99993663988,4348.356461301799,5,,-179.806169348385,1268.7415632536065,sectors,0.0
-10523.29888938204,5272.285307960965,6,,-263.28942774548705,1508.1930595487006,sectors,0.0
-8454.701033746245,3533.762809734585,7,,-110.32009417300554,1852.7630498852081,sectors,0.0
-4561.649428688508,2246.2878077619625,8,,-289.22839678348447,2296.073093880535,sectors,0.0
-504.94031366585807,829.5321003586907,9,,-110.84514831248515,2737.953317752069,sectors,0.0
3379.32839315029,-348.2780126454534,10,,-301.3436044526764,3126.0549939584707,sectors,0.0
7018.058597092131,-1645.4025112406457,11,,-287.15783062950817,3635.837667802531,sectors,0.0
9652.727728990507,-2940.8112708788376,12,,-329.98038805832766,3910.955213425024,sectors,0.0
9577.853620653015,-6652.14494174305,13,,-52.46349850102115,4198.512148863117,sectors,0.0
8203.152997423931,-6437.844711009063,14,,-156.17302724506771,4276.727989893591,sectors,0.0
9138.800758635753,-3713.6886466164938,15,,-327.4272364797644,4602.000509920167,sectors,0.0
8214.477487810918,-3678.9147672271692,16,,-245.43844905540976,4695.432806310264,sectors,0.0
4772.200699923201,-2973.4088526010446,17,,-275.6103093326291,5127.4848779391905,sectors,0.0
3817.514287505169,-4296.4815473808085,18,,-65.04563450963099,5281.639746176872,sectors,0.0
2347.4448623334642,-3351.6600124689144,19,,-125.93590603551036,5354.869135857526,sectors,0.0
