X,Y,Number,Letter,Angle,Distance,Type,Rotation
-7381.10693359375,-4719.94921875,1,,140.3846313043515,194.97109964013973,corners,315.0
-3634.549072265625,-3769.346435546875,2,,103.01511724015117,616.1671518006874,corners,315.0
-2275.6494140625,-3071.90087890625,3,,168.94984234500842,777.6289555450317,corners,315.0
-2745.11328125,-1956.1094970703125,4,,-174.39625672702851,916.2821844859864,corners,315.0
-1422.224853515625,-197.89369201660156,5,,76.19105663205922,1102.580153344998,corners,315.0
-797.2467651367188,-1127.089111328125,6,,-85.86275308686861,1229.506370022712,corners,315.0
-1016.8847045898438,-477.5965576171875,7,,-14.461416055118015,1339.804273346866,corners,315.0
-271.22930908203125,-251.0789794921875,8,,44.79949514192601,1415.474114791777,corners,315.0
-1126.0921630859375,-3321.8916015625,9,,125.0997533777758,1784.8276214220734,corners,315.0
-4159.9892578125,-4441.59521484375,10,,144.84561051048868,2056.719740899442,corners,315.0
-4579.203125,-4621.61669921875,11,,-103.72939595631462,2126.582186569041,corners,315.0
-6814.4267578125,-4914.705078125,12,,-54.9625873658003,2366.9339114468194,corners,315.0
-7167.99951171875,-6327.60107421875,13,,-155.76249696113177,2546.140673250199,corners,315.0
-6992.05419921875,-6563.8642578125,14,,21.944069983276485,2582.306817240815,corners,315.0
-6752.3818359375,-7870.388671875,15,,-10.762562523217996,2676.5813186087526,corners,315.0
-6875.2265625,-8042.5830078125,16,,153.79114079774385,2706.5304135420984,corners,315.0
-6723.556640625,-8744.119140625,17,,27.71185341167223,2814.2007842167386,corners,315.0
-5928.0,-9572.421875,18,,-7.508149364344431,2881.5912470565236,corners,315.0
-6718.7294921875,-9704.8701171875,19,,-137.085449208191,2998.5947313999773,corners,315.0
-7645.49169921875,-6873.95556640625,1,,-175.9738186795469,20.909518680812713,lights,315.0
-7587.99853515625,-5363.27294921875,2,,168.876377829847,153.65648133028392,lights,315.0
-5332.49072265625,-4260.33984375,3,,-78.73467122983254,465.17115091642574,lights,315.0
-3822.232666015625,-3818.19287109375,4,,108.10556659275017,593.986479075407,lights,315.0
-2288.78173828125,-3137.037109375,5,,-11.365811120207791,764.5151520467148,lights,315.0
-2741.660888671875,-1854.304931640625,6,,168.6875169650877,929.1423215630016,lights,315.0
-1691.2279052734375,-377.4324951171875,7,,138.7705229756043,1078.893967751583,lights,315.0
-915.7832641601562,-1080.649169921875,8,,-136.0327123307099,1218.6792459562357,lights,315.0
-1018.2889404296875,-482.5111999511719,9,,163.33141867587548,1339.804273346866,lights,315.0
-575.129150390625,-212.4531707763672,10,,100.63620961387517,1386.7315528993581,lights,315.0
-239.89097595214844,-978.4373779296875,11,,-5.890636412723841,1539.1542858526889,lights,315.0
-938.8284301757812,-3148.656982421875,12,,-39.528693115083925,1784.8276214220734,lights,315.0
-3260.216552734375,-4273.74658203125,13,,-79.28508111931072,1999.3135018631053,lights,315.0
-5282.45263671875,-4672.9931640625,14,,96.82080994818273,2224.3690523128666,lights,315.0
-7218.17041015625,-5987.18310546875,15,,176.0463064115089,2493.531771471835,lights,315.0
-6746.0,-7753.173828125,16,,0.04037109766412843,2666.185451829739,lights,315.0
-6364.14208984375,-9177.9072265625,17,,-129.12079444485397,2839.2921933830567,lights,315.0
-6542.3583984375,-9763.498046875,18,,-94.53758021760575,2974.7863216151186,lights,315.0
-7367.52587890625,-8253.1455078125,19,,-164.12023842489288,3170.240879384397,lights,315.0
-7651.708984375,-6792.41650390625,1,,-176.46430856192504,20.909518680812713,sectors,315.0
-7577.8359375,-5313.1806640625,2,,168.74306455049762,153.65648133028392,sectors,315.0
-5337.5087890625,-4261.31298828125,3,,-78.75016305963199,465.17115091642574,sectors,315.0
-3802.84619140625,-3811.698486328125,4,,109.05228380085687,593.986479075407,sectors,315.0
-2280.7001953125,-3096.953369140625,5,,-11.507449361594343,777.6289555450317,sectors,315.0
-2746.83984375,-1905.0372314453125,6,,175.13473087715624,916.2821844859864,sectors,315.0
-1701.20703125,-389.0749206542969,7,,141.52915674349433,1078.893967751583,sectors,315.0
-884.8056030273438,-1106.9359130859375,8,,-116.62982860177543,1224.38574924348,sectors,315.0
-1029.0,-521.7724609375,9,,-171.85193139670085,1331.983668321267,sectors,315.0
-529.7435302734375,-205.01153564453125,10,,94.75288277119472,1394.276822422002,sectors,315.0
-247.17433166503906,-1065.0001220703125,11,,-3.8916273197958526,1557.080182226098,sectors,315.0
-994.9605102539062,-3208.025390625,12,,-48.24935399257966,1784.8276214220734,sectors,315.0
-3300.4013671875,-4281.31103515625,13,,-79.63624458329572,1999.3135018631053,sectors,315.0
-5247.0595703125,-4667.74951171875,14,,-81.1781468666594,2207.4884520497285,sectors,315.0
-7211.8193359375,-5869.83203125,15,,175.60638027155414,2493.531771471835,sectors,315.0
-6746.0,-7758.28515625,16,,-0.6086226756478406,2666.185451829739,sectors,315.0
-6379.60009765625,-9164.525390625,17,,49.353602807936426,2839.2921933830567,sectors,315.0
-6465.84765625,-9767.0,18,,-88.65650132934277,2968.2437654314135,sectors,315.0
-7368.9658203125,-8248.2412109375,19,,-163.3713782125735,3170.240879384397,sectors,315.0
