X,Y,Number,Letter,Angle,Distance,Type,Rotation
-569.5805053710938,8153.724609375,1,,153.78733177568182,915.5819909220114,corners,95.0
-146.75457763671875,8474.9814453125,2,,-13.83584308210785,987.1879051646864,corners,95.0
611.6001586914062,13310.6201171875,3,,133.0285175221899,1522.9714756993515,corners,95.0
6808.6552734375,14630.75390625,4,,-54.042256120811224,2148.5951396562637,corners,95.0
7130.8720703125,15023.123046875,5,,121.75285797812727,2214.695756518126,corners,95.0
10554.8564453125,15713.8046875,6,,54.6416550196045,2577.760128406782,corners,95.0
10972.642578125,12648.357421875,7,,-29.053283096610013,2904.3984774405862,corners,95.0
2562.920166015625,6171.0234375,8,,163.07286056163184,3967.5730183479454,corners,95.0
2478.04150390625,5270.56201171875,9,,-21.066696185852937,4092.4164036531806,corners,95.0
1890.1082763671875,4451.185546875,10,,152.54444074214535,4219.248734151011,corners,95.0
-55.33073425292969,-5800.1669921875,11,,-95.85285360901966,5266.355070917321,corners,95.0
-1393.0,-874.0,1,,-166.00688809948863,19.60419067805438,lights,95.0
-993.6149291992188,3715.629638671875,2,,174.94455329639436,499.3870159041152,lights,95.0
-728.7491455078125,6807.2587890625,3,,174.96541012451937,795.0440144795061,lights,95.0
-334.0108337402344,9423.1279296875,4,,11.929974815682696,1093.5654445311766,lights,95.0
-196.71041870117188,12049.8173828125,5,,160.1880178779477,1349.6867633167612,lights,95.0
1287.578125,13794.2998046875,6,,118.70680760011695,1600.0251292699018,lights,95.0
5084.85302734375,14453.71484375,7,,-86.99101242151787,1983.711191581165,lights,95.0
8839.2802734375,15531.771484375,8,,112.08342677162943,2394.3302876838484,lights,95.0
11046.1875,13423.9814453125,9,,5.194877650391451,2815.9788354193056,lights,95.0
9149.5830078125,11553.4755859375,10,,119.60422552358996,3106.9531376182595,lights,95.0
6550.8876953125,9795.4091796875,11,,130.81376363619174,3422.375454325364,lights,95.0
5687.48974609375,9045.0087890625,12,,-49.516843786671856,3555.6981769550666,lights,95.0
3709.322998046875,7325.37548828125,13,,130.80900619268485,3796.0921806995675,lights,95.0
1542.59765625,1735.5506591796875,14,,174.52976246861948,4451.896450793739,lights,95.0
1035.3646240234375,-3766.80859375,15,,-5.801710393896538,4974.043363716675,lights,95.0
-592.1219482421875,-5604.251953125,16,,-122.50422399284443,5305.0997300001845,lights,95.0
-1445.5782470703125,-4079.277587890625,17,,-168.76202063178462,5479.527820966802,lights,95.0
-1414.551025390625,-1183.938720703125,1,,176.2678819489212,5754.839395127938,sectors,95.0
-1004.7970581054688,3590.034912109375,2,,175.38932691572086,499.3870159041152,sectors,95.0
-746.1488037109375,6605.345703125,3,,175.34253963439218,768.7065112498665,sectors,95.0
-361.3633728027344,9550.8349609375,4,,11.639332899459784,1111.659419092843,sectors,95.0
-236.68624877929688,11925.509765625,5,,163.23107373089525,1349.6867633167612,sectors,95.0
1260.103515625,13778.841796875,6,,119.93237834028473,1600.0251292699018,sectors,95.0
5188.2900390625,14459.2119140625,7,,-87.92224012579592,1983.711191581165,sectors,95.0
8780.6982421875,15508.4521484375,8,,111.6274990597858,2373.4981985932836,sectors,95.0
11051.1044921875,13374.6904296875,9,,4.955850299017581,2815.9788354193056,sectors,95.0
9169.1357421875,11564.6484375,10,,119.80539605859003,3106.9531376182595,sectors,95.0
6642.05078125,9875.8759765625,11,,131.22353433038978,3422.375454325364,sectors,95.0
5279.1201171875,8691.0234375,12,,-48.813985495323166,3609.3011333933337,sectors,95.0
3556.128173828125,7192.6923828125,13,,131.04297642329755,3822.625467418562,sectors,95.0
1536.1629638671875,1659.2939453125,14,,174.4146344547498,4451.896450793739,sectors,95.0
1021.2236328125,-3919.27880859375,15,,-6.178387087603308,5000.766258858571,sectors,95.0
-517.399169921875,-5645.943359375,16,,-119.39920533684388,5305.0997300001845,sectors,95.0
-1405.35888671875,-4282.466796875,17,,-166.8513727602682,5479.527820966802,sectors,95.0
