X,Y,Number,Letter,Angle,Distance,Type,Rotation
3743.505950560483,-4013.3678672920078,1,,-44.65195695742783,632.3423780125912,corners,0.0
3414.022004158147,-1696.4977152979786,2,,-200.3469641110752,880.2266963872112,corners,0.0
5395.315371904974,-54.73041858963802,3,,-43.71563655008453,1141.8191590200258,corners,0.0
5846.153185134,682.4340137004386,4,,141.14534006324735,1237.0407346340915,corners,0.0
6609.267124870705,1281.73631572348,5,,-30.322413912880773,1329.875029158434,corners,0.0
7165.299058163059,2448.096460587591,6,,129.91658034908926,1463.095020168005,corners,0.0
9287.59816520198,2343.861924048018,7,,-75.27417115433745,1688.244805466694,corners,0.0
10475.25965605229,3267.2329941228463,8,,94.00044337982348,1832.6385348480237,corners,0.0
11266.63987279964,2843.723967841445,9,,-109.78937699733613,1919.067970807961,corners,0.0
13265.495253457295,3339.9514603285365,10,,-57.57904768880108,2143.5811759019966,corners,0.0
15557.826820202115,6316.789651088751,11,,32.93557808140348,2528.012714249279,corners,0.0
4025.1148393632216,3996.419189060194,12,,-215.09380810399114,3720.6652737295312,corners,0.0
4941.5833838497,2058.1670910820194,13,,-35.26644068702872,3955.596899150741,corners,0.0
4279.206066924415,2035.9921472841122,14,,-125.80171331872026,4022.708365372746,corners,0.0
2856.971820674472,3037.7723595471184,15,,-205.71642813601727,4228.996836072733,corners,0.0
3693.059720660606,1427.1712545632547,16,,-166.36228991817734,4425.197204860303,corners,0.0
3320.2825975725164,212.0593181515851,17,,-49.84976314365157,4561.926816359246,corners,0.0
2005.0009056930412,-12.105512097587734,18,,-104.60865513920405,4711.724499286829,corners,0.0
45.34517859774405,1887.2539478629997,19,,74.12689300139989,4969.317601047098,corners,0.0
-2544.6723020443987,618.3306286295765,20,,-171.08009883185278,5280.080401705169,corners,0.0
-1396.0001219491005,-340.000190230573,1,,-133.02419367521347,5421.501422400394,lights,0.0
1150.7883923249328,-2293.8390086986437,2,,-127.03186319375203,312.7981243995116,lights,0.0
2754.708134538498,-3526.165866946538,3,,-127.26016448757505,512.728966681527,lights,0.0
3708.7869313023293,-3302.6293855470003,4,,22.065715538434354,705.9041488670007,lights,0.0
4833.366385789422,-510.4756861374176,5,,123.55259470214477,1076.7138049832192,lights,0.0
7001.653526242539,2288.436586239408,6,,140.30761924731317,1437.3086013254176,lights,0.0
8259.242672783184,2677.5052080869727,7,,-110.1599065635833,1586.241475750812,lights,0.0
10274.526775688635,3204.2109039316774,8,,-61.385083896183104,1816.5377511726745,lights,0.0
12150.918186558649,2922.5808777630787,9,,-75.5388806058796,2029.270648833416,lights,0.0
14954.303895701003,5315.554567190815,10,,-40.62751391384808,2403.6776894858494,lights,0.0
14046.948982187701,6061.364293016632,11,,108.72035253492558,2689.4683537732317,lights,0.0
12130.197040297688,5458.954780980613,12,,-74.77003030201377,2891.71097771159,lights,0.0
9493.288341681437,4837.442598016159,13,,-78.48361558134054,3172.447859353838,lights,0.0
5109.111075862739,4244.400913874677,14,,94.95479197569642,3620.2547151980757,lights,0.0
4705.432555913012,2927.567477155677,15,,-134.82703559685643,3861.35255925121,lights,0.0
3849.4558446134647,2630.360876229517,16,,-154.09610197145946,4101.449427089092,lights,0.0
3655.846524247678,1570.7164278372782,17,,15.887146996534376,4400.72197263312,lights,0.0
3398.998206426035,283.0747060303545,18,,-47.860129237785316,4537.308373969986,lights,0.0
569.4303292231589,1499.8311030439586,19,,41.19004978349393,4899.086974354825,lights,0.0
-2063.6926263076457,1159.687501770266,20,,113.69403248073493,5202.148220062855,lights,0.0
-1395.9999428336614,-339.9998880040589,1,,-129.89761122646271,5421.501422400394,sectors,0.0
1005.9339762559948,-2183.0999545976024,2,,-127.75734752013476,302.07265631936133,sectors,0.0
2801.859435332803,-3562.246381714479,3,,-127.99141452105931,528.1958836097756,sectors,0.0
3607.5449765755793,-3083.174665760519,4,,25.447870808711798,733.1588106746631,sectors,0.0
4865.193083047778,-489.4075042456748,5,,123.60522299088177,1076.7138049832192,sectors,0.0
6967.410130007838,2239.9688703679885,6,,-214.7420581914689,1437.3086013254176,sectors,0.0
8183.777322139221,2705.709324447921,7,,72.46563843871145,1567.0036027684932,sectors,0.0
10371.627820031783,3246.2442602312267,8,,-69.6435392737485,1832.6385348480237,sectors,0.0
11974.364229769859,2877.0908320072995,9,,-75.89372040320741,2017.8496241225719,sectors,0.0
14864.025881654296,5208.636514069202,10,,-38.892215015599646,2387.8858755964893,sectors,0.0
14198.702811670073,6115.560102835169,11,,110.02947681545487,2664.55389195324,sectors,0.0
12130.202029141183,5458.957379905564,12,,-74.86936460526314,2891.71097771159,sectors,0.0
9464.191778768067,4831.5889031234055,13,,-78.71398284302744,3172.447859353838,sectors,0.0
5239.937335981414,4257.370280589441,14,,95.94992384257051,3599.5680295145135,sectors,0.0
4711.423628448245,2921.5763724016133,15,,-134.67426395987945,3861.35255925121,sectors,0.0
3807.060489906064,2708.6322515295583,16,,-150.9620775205605,4113.657692494467,sectors,0.0
3654.673361180795,1574.8051868376372,17,,15.742706657794152,4400.72197263312,sectors,0.0
3373.820398151395,260.3594012150784,18,,-47.959798578441045,4537.308373969986,sectors,0.0
434.8275536531346,1646.517029020194,19,,44.09467510059531,4938.990320684348,sectors,0.0
-1966.670764936276,1202.3206719409118,20,,112.99497985434672,5192.794665666212,sectors,0.0
