Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:33:18.614000,2,Yellow
0 days 00:33:22.966000,1,AllClear
0 days 00:33:25.699000,2,Yellow
0 days 00:33:46.005000,1,AllClear
0 days 00:34:01.290000,2,Yellow
0 days 00:34:32.859000,1,AllClear
0 days 00:44:12.840000,2,Yellow
0 days 00:47:21.107000,1,AllClear
0 days 00:48:55.236000,2,Yellow
0 days 00:50:05.274000,1,AllClear
0 days 01:11:37.549000,2,Yellow
0 days 01:12:55.045000,1,AllClear
