X,Y,Number,Letter,Angle,Distance,Type,Rotation
-4002.5498661460833,-1659.2946044991618,1,,-97.82392870469776,249.0231240075915,corners,178.0
-10194.152086855822,-1797.2700204435946,2,,111.88313377257879,891.4943921394217,corners,178.0
-10487.442618448618,-2314.6945517724075,3,,-30.15716702996394,945.1203769769438,corners,178.0
-11612.711556602806,-3147.8826331294936,4,,140.59195787354795,1091.9174921487638,corners,178.0
-13160.352086037015,-7153.475069517273,5,,-178.31172884591876,1523.4260620165448,corners,178.0
-13043.750758589213,-8102.168121445727,6,,-21.4386519733737,1628.7349114613835,corners,178.0
-14871.735794051183,-10110.13631173347,7,,-171.05139602443612,1898.175621323028,corners,178.0
-11074.14236341196,-9919.316626373356,8,,90.9730095125042,2307.4293972116216,corners,178.0
-8677.443388922406,-9848.486839053796,9,,-41.148155207078,2561.291348776454,corners,178.0
-8237.282519977727,-8597.52562471613,10,,-180.56795042522023,2692.4051644275123,corners,178.0
-8627.001765725101,-6142.266366985422,11,,-191.14447209022003,2946.5621776278067,corners,178.0
-8140.502538082326,-5357.265931568226,12,,115.09022178802522,3037.9377215629893,corners,178.0
-7328.02827991963,-5441.099711541869,13,,-90.97901268389123,3124.9030042039262,corners,178.0
-3203.535205733467,-5287.1526108486405,14,,64.02888553347759,3544.2224207560075,corners,178.0
-2813.3766286096075,-5561.05664668873,15,,-96.25082233626188,3586.946596332249,corners,178.0
1549.6159178222933,-2360.470641944083,16,,-51.56989885889029,4153.311013889152,corners,178.0
3183.621546926235,-1411.8382518196768,17,,-7.579908469050402,4337.376773381486,corners,178.0
2461.8283511989794,-336.4552654753461,18,,86.24746693674015,4474.635733698208,corners,178.0
-395.8334440528106,-1491.902321353356,19,,-73.50537254412396,4784.805651804507,corners,178.0
-1480.3706396746493,-1602.7750975272356,1,,94.3619754171813,4888.0884279907905,lights,178.0
-3628.2399320881673,-1692.9566552066572,2,,-90.91082162603851,212.24164561663912,lights,178.0
-6503.213224356802,-1229.9999332124025,3,,89.87633132902688,508.67686524743016,lights,178.0
-8902.84071935323,-1444.973197288156,4,,99.32386144332267,753.3722170379684,lights,178.0
-11658.645588519206,-3203.5573338467484,5,,141.25758450063665,1091.9174921487638,lights,178.0
-12822.096692744082,-6178.709087511204,6,,-201.99723444617706,1420.4466457466124,lights,178.0
-13058.62284739832,-8137.11953298713,7,,-27.15244502939711,1628.7349114613835,lights,178.0
-14343.791589538778,-9326.144156127042,8,,134.7115494339557,1801.6758990378448,lights,178.0
-11476.061276113058,-9941.227921067893,9,,95.56560352639406,2274.146866775489,lights,178.0
-9209.084081212295,-10069.989187115387,10,,-89.8078430144225,2491.907187228094,lights,178.0
-8237.05169469188,-8570.933371916359,11,,-0.34914948219619646,2692.4051644275123,lights,178.0
-8586.57442327428,-6726.37812955705,12,,-167.64007359436224,2894.4129751876817,lights,178.0
-6458.181936737044,-5438.001597849499,13,,-86.7780998114448,3215.639656288498,lights,178.0
-4288.770824057525,-5346.353234225681,14,,94.34123112347056,3434.6293518918847,lights,178.0
-1389.5395950253824,-4932.76802051964,15,,-65.38525081210878,3753.603815531749,lights,178.0
493.62691170686685,-3488.032078325884,16,,138.07953753314396,3993.7946957390354,lights,178.0
2608.6263088068736,-1848.890099673184,17,,-68.9752749879178,4257.02836857023,lights,178.0
2974.4237750313114,-706.7655456954208,18,,30.681325255396636,4413.328051730659,lights,178.0
1503.4028602948893,-719.4389999147988,19,,-68.12250235987443,4581.660033234411,lights,178.0
-1476.58019942397,-1602.5168715508107,1,,93.93830391852103,4888.0884279907905,sectors,178.0
-3810.2322075051834,-1682.4179764741443,2,,-93.88726564306037,230.60364416566185,sectors,178.0
-6381.647537716535,-1230.0003123017977,3,,89.98385569677332,489.85778232210464,sectors,178.0
-8790.129017325075,-1428.1682660078914,4,,97.96180966313855,734.5462863120314,sectors,178.0
-11600.604112151897,-3133.246485721009,5,,140.5154411736624,1091.9174921487638,sectors,178.0
-12764.694714027086,-6029.841794126028,6,,-201.15157344060157,1402.9633709388459,sectors,178.0
-13064.279450294716,-8147.004958787951,7,,-30.2502267588105,1628.7349114613835,sectors,178.0
-14311.429475563422,-9294.035601498408,8,,134.42560223014993,1801.6758990378448,sectors,178.0
-11426.908256768085,-9936.449327085738,9,,95.58377991896221,2274.146866775489,sectors,178.0
-9338.169592669914,-10066.418698432597,10,,-92.38707555374526,2476.1708278894844,sectors,178.0
-8238.008489366635,-8536.76115891168,11,,2.0930426060611325,2692.4051644275123,sectors,178.0
-8593.081034381677,-6696.6922786412415,12,,-167.49108306373373,2894.4129751876817,sectors,178.0
-6773.458917664247,-5440.0000311061995,13,,-89.99162874176575,3187.799369250918,sectors,178.0
-4269.837584740293,-5344.812336359883,14,,94.60806277385548,3434.6293518918847,sectors,178.0
-1444.831718056801,-4958.010015698561,15,,-65.5213976943329,3739.477644923578,sectors,178.0
402.6609329952644,-3590.1543282135626,16,,138.26956547885803,3976.5927717238565,sectors,178.0
2506.4624108523712,-1890.03948830247,17,,-67.53295446864664,4241.059056103765,sectors,178.0
2871.5107123312373,-561.0526979242368,18,,39.08818004961829,4435.178487648036,sectors,178.0
1363.3967933669956,-778.5064322919134,19,,-67.15306342702345,4595.593332361829,sectors,178.0
