Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:12.698000,OCO,31,0 days 00:01:59.634000,1.0,1.0,,,,0 days 00:00:42.088000,0 days 00:00:37.115000,,0 days 01:03:35.583000,0 days 01:04:12.823000,250.0,154.0,133.0,256.0,False,INTERMEDIATE,1.0,True,Alpine,0 days 01:02:12.824000,2021-08-01 13:03:12.833,24,6.0,False,,False,False
0 days 01:07:02.353000,OCO,31,,2.0,1.0,,0 days 01:07:00.116000,0 days 00:01:04.310000,0 days 00:00:57.138000,0 days 00:00:48.208000,0 days 01:05:17.007000,0 days 01:06:14.157000,0 days 01:07:02.392000,152.0,178.0,,130.0,False,INTERMEDIATE,2.0,True,Alpine,0 days 01:04:12.698000,2021-08-01 13:05:12.707,45,2.0,False,,False,False
0 days 01:33:33.172000,OCO,31,,3.0,2.0,0 days 01:31:10.321000,0 days 01:33:31.480000,,0 days 00:00:53.774000,0 days 00:00:40.057000,,0 days 01:32:53.140000,0 days 01:33:33.276000,109.0,197.0,,,False,INTERMEDIATE,1.0,True,Alpine,0 days 01:31:00.096000,2021-08-01 13:32:00.105,1,1.0,False,,False,False
0 days 01:35:36.884000,OCO,31,0 days 00:02:03.712000,4.0,3.0,0 days 01:34:11.066000,,0 days 00:01:09.261000,0 days 00:00:30.638000,0 days 00:00:23.813000,0 days 01:34:42.433000,0 days 01:35:13.071000,0 days 01:35:36.884000,265.0,235.0,244.0,,False,MEDIUM,1.0,True,Alpine,0 days 01:33:33.172000,2021-08-01 13:34:33.181,1,2.0,False,,False,False
0 days 01:37:01.459000,OCO,31,0 days 00:01:24.575000,5.0,3.0,,,0 days 00:00:30.707000,0 days 00:00:30.115000,0 days 00:00:23.753000,0 days 01:36:07.591000,0 days 01:36:37.706000,0 days 01:37:01.459000,264.0,233.0,244.0,282.0,True,MEDIUM,2.0,True,Alpine,0 days 01:35:36.884000,2021-08-01 13:36:36.893,1,1.0,False,,False,True
0 days 01:38:25.833000,OCO,31,0 days 00:01:24.374000,6.0,3.0,,,0 days 00:00:30.447000,0 days 00:00:30.263000,0 days 00:00:23.664000,0 days 01:37:31.906000,0 days 01:38:02.169000,0 days 01:38:25.833000,266.0,235.0,244.0,283.0,True,MEDIUM,3.0,True,Alpine,0 days 01:37:01.459000,2021-08-01 13:38:01.468,1,1.0,False,,False,True
0 days 01:39:49.992000,OCO,31,0 days 00:01:24.159000,7.0,3.0,,,0 days 00:00:30.270000,0 days 00:00:30.154000,0 days 00:00:23.735000,0 days 01:38:56.103000,0 days 01:39:26.257000,0 days 01:39:49.992000,268.0,232.0,245.0,,True,MEDIUM,4.0,True,Alpine,0 days 01:38:25.833000,2021-08-01 13:39:25.842,1,1.0,False,,False,True
0 days 01:41:14.376000,OCO,31,0 days 00:01:24.384000,8.0,3.0,,,0 days 00:00:30.351000,0 days 00:00:30.221000,0 days 00:00:23.812000,0 days 01:40:20.343000,0 days 01:40:50.564000,0 days 01:41:14.376000,,233.0,244.0,,False,MEDIUM,5.0,True,Alpine,0 days 01:39:49.992000,2021-08-01 13:40:50.001,1,1.0,False,,False,True
0 days 01:42:38.432000,OCO,31,0 days 00:01:24.056000,9.0,3.0,,,0 days 00:00:30.359000,0 days 00:00:30.023000,0 days 00:00:23.674000,0 days 01:41:44.735000,0 days 01:42:14.758000,0 days 01:42:38.432000,270.0,234.0,243.0,,True,MEDIUM,6.0,True,Alpine,0 days 01:41:14.376000,2021-08-01 13:42:14.385,1,1.0,False,,False,True
0 days 01:44:02.536000,OCO,31,0 days 00:01:24.104000,10.0,3.0,,,0 days 00:00:30.235000,0 days 00:00:30.061000,0 days 00:00:23.808000,0 days 01:43:08.667000,0 days 01:43:38.728000,0 days 01:44:02.536000,271.0,234.0,243.0,,False,MEDIUM,7.0,True,Alpine,0 days 01:42:38.432000,2021-08-01 13:43:38.441,1,1.0,False,,False,True
