X,Y,Number,Letter,Angle,Distance,Type,Rotation
-569.5805053710938,8153.724609375,1,,153.78733177568182,882.7073797522664,corners,95.0
-146.75457763671875,8474.9814453125,2,,-13.83584308210785,938.7188108344503,corners,95.0
611.6001586914062,13310.6201171875,3,,133.0285175221899,1444.2874082232572,corners,95.0
6808.6552734375,14630.75390625,4,,-54.042256120811224,2111.969819291603,corners,95.0
7130.8720703125,15023.123046875,5,,121.75285797812727,2162.910017860444,corners,95.0
10554.8564453125,15713.8046875,6,,54.6416550196045,2527.799466445431,corners,95.0
10972.642578125,12648.357421875,7,,-29.053283096610013,2832.788437588335,corners,95.0
2562.920166015625,6171.0234375,8,,163.07286056163184,3912.5156578041465,corners,95.0
2478.04150390625,5270.56201171875,9,,-21.066696185852937,3996.51734642549,corners,95.0
1890.1082763671875,4451.185546875,10,,152.54444074214535,4111.324405621374,corners,95.0
-55.33073425292969,-5800.1669921875,11,,-95.85285360901966,5180.714424877424,corners,95.0
-1393.0,-874.0,1,,-166.00688809948863,5731.0946600849875,lights,95.0
-993.6149291992188,3715.629638671875,2,,174.94455329639436,435.898380328184,lights,95.0
-728.7491455078125,6807.2587890625,3,,174.96541012451937,760.3181024506556,lights,95.0
-334.0108337402344,9423.1279296875,4,,11.929974815682696,1038.196105768588,lights,95.0
-196.71041870117188,12049.8173828125,5,,160.1880178779477,1317.9625020013746,lights,95.0
1287.578125,13794.2998046875,6,,118.70680760011695,1542.3250069911978,lights,95.0
5084.85302734375,14453.71484375,7,,-86.99101242151787,1940.515611460005,lights,95.0
8839.2802734375,15531.771484375,8,,112.08342677162943,2351.0882125221833,lights,95.0
11046.1875,13423.9814453125,9,,5.194877650391451,2765.3042306819416,lights,95.0
9149.5830078125,11553.4755859375,10,,119.60422552358996,3044.436117873741,lights,95.0
6550.8876953125,9795.4091796875,11,,130.81376363619174,3362.184374710605,lights,95.0
5687.48974609375,9045.0087890625,12,,-49.516843786671856,3491.9915866600104,lights,95.0
3709.322998046875,7325.37548828125,13,,130.80900619268485,3728.753927014618,lights,95.0
1542.59765625,1735.5506591796875,14,,174.52976246861948,4372.901541248854,lights,95.0
1035.3646240234375,-3766.80859375,15,,-5.801710393896538,4935.940604436686,lights,95.0
-592.1219482421875,-5604.251953125,16,,-122.50422399284443,5250.589927154412,lights,95.0
-1445.5782470703125,-4079.277587890625,17,,-168.76202063178462,5415.748417067918,lights,95.0
-1414.551025390625,-1183.938720703125,1,,176.2678819489212,5712.418913485828,sectors,95.0
-1004.7970581054688,3590.034912109375,2,,175.38932691572086,435.898380328184,sectors,95.0
-746.1488037109375,6605.345703125,3,,175.34253963439218,731.3223131658712,sectors,95.0
-361.3633728027344,9550.8349609375,4,,11.639332899459784,1053.7174711288812,sectors,95.0
-236.68624877929688,11925.509765625,5,,163.23107373089525,1296.6677537732812,sectors,95.0
1260.103515625,13778.841796875,6,,119.93237834028473,1542.3250069911978,sectors,95.0
5188.2900390625,14459.2119140625,7,,-87.92224012579592,1940.515611460005,sectors,95.0
8780.6982421875,15508.4521484375,8,,111.6274990597858,2334.0484276858588,sectors,95.0
11051.1044921875,13374.6904296875,9,,4.955850299017581,2765.3042306819416,sectors,95.0
9169.1357421875,11564.6484375,10,,119.80539605859003,3044.436117873741,sectors,95.0
6642.05078125,9875.8759765625,11,,131.22353433038978,3353.8050595569384,sectors,95.0
5279.1201171875,8691.0234375,12,,-48.813985495323166,3538.566870168097,sectors,95.0
3556.128173828125,7192.6923828125,13,,131.04297642329755,3748.9848488716616,sectors,95.0
1536.1629638671875,1659.2939453125,14,,174.4146344547498,4372.901541248854,sectors,95.0
1021.2236328125,-3919.27880859375,15,,-6.178387087603308,4946.172423540186,sectors,95.0
-517.399169921875,-5645.943359375,16,,-119.39920533684388,5229.4438003132955,sectors,95.0
-1405.35888671875,-4282.466796875,17,,-166.8513727602682,5397.89134684769,sectors,95.0
