X,Y,Number,Letter,Angle,Distance,Type,Rotation
-3728.05029296875,-7258.6728515625,1,,-73.41794043891761,822.7168538819875,corners,303.0
-4538.2138671875,-7090.6689453125,2,,82.42771278043853,904.2463259600457,corners,303.0
-6846.68701171875,-7532.82373046875,3,,-123.521561320095,1159.095184608448,corners,303.0
-5053.705078125,-3172.251708984375,4,,61.7467050277611,1727.4832515444164,corners,303.0
-5760.50341796875,-6343.96533203125,5,,-151.46745625270339,2105.33533547408,corners,303.0
-3511.338623046875,-5588.65185546875,6,,-48.17945942707677,2356.113972534268,corners,303.0
-2657.036865234375,-4195.921875,7,,14.858653035638675,2523.3856324101107,corners,303.0
-3287.30078125,-3536.36962890625,8,,-147.35402042528645,2621.931700451072,corners,303.0
-3938.748046875,-911.7788696289062,9,,155.82114780117408,2907.5845888613408,corners,303.0
869.1649169921875,1933.093017578125,10,,13.736824281288472,3471.033871847624,corners,303.0
-326.2638854980469,2196.596435546875,11,,-62.89936367674076,3590.245119160013,corners,303.0
-1556.8873291015625,2107.8310546875,12,,-152.42054014080594,3732.2008025710998,corners,303.0
-170.4140625,3724.0,13,,89.88820261257484,3966.473824825405,corners,303.0
883.0264892578125,3076.24169921875,14,,-89.01324193526675,4093.9028012596564,corners,303.0
1272.7481689453125,3302.875244140625,15,,87.94871304181052,4133.679753602658,corners,303.0
2294.98974609375,2150.14013671875,16,,1.037018361443222,4310.43512488996,corners,303.0
797.0,-512.0,1,,-30.552495886712478,0.569933577667151,lights,303.0
-2574.54296875,-5729.89208984375,2,,-29.502296359447065,617.868028998627,lights,303.0
-5227.48828125,-7343.49755859375,3,,123.53895347852762,994.216282877202,lights,303.0
-6476.57568359375,-7695.8173828125,4,,-105.1085319037319,1128.1419918965594,lights,303.0
-6483.55419921875,-4400.7060546875,5,,149.35016473627482,1521.455382707477,lights,303.0
-4887.2158203125,-3284.783935546875,6,,44.836020899871805,1746.0481224744733,lights,303.0
-5217.57080078125,-5132.73095703125,7,,144.03826987234783,1947.569938815399,lights,303.0
-3105.3955078125,-5133.85693359375,8,,-37.48314418269123,2418.8705676026425,lights,303.0
-3291.214111328125,-3530.33642578125,9,,33.11773525221938,2621.931700451072,lights,303.0
-4034.38623046875,-1861.283203125,10,,-157.90560756313377,2798.0139109208203,lights,303.0
-3249.5517578125,-391.8780822753906,11,,114.46762717066896,2986.023008608258,lights,303.0
-423.7689208984375,1020.5032958984375,12,,-61.82478819953914,3312.4004507020354,lights,303.0
-625.80419921875,2011.6751708984375,13,,121.24369149273019,3626.433691632749,lights,303.0
-1448.3138427734375,1988.9107666015625,14,,-127.9419407487849,3716.548727032194,lights,303.0
-637.712158203125,3486.4111328125,15,,125.92158616873394,3913.459386853567,lights,303.0
604.4165649414062,3216.6513671875,16,,-125.45374672521714,4058.3349708761702,lights,303.0
1764.1580810546875,3035.41162109375,17,,54.8880010241596,4190.062930673961,lights,303.0
926.2546997070312,-312.9834899902344,1,,-31.964543169569136,4595.090968533195,sectors,303.0
-2586.903564453125,-5751.81689453125,2,,-29.38649593082521,617.868028998627,sectors,303.0
-5176.5126953125,-7309.76513671875,3,,123.31016254938791,980.6496919347418,sectors,303.0
-6346.31689453125,-7722.3525390625,4,,-98.6191163618388,1112.7525155172202,sectors,303.0
-6551.75927734375,-4514.931640625,5,,149.47090887764006,1503.9433529924302,sectors,303.0
-4974.27197265625,-3221.282470703125,6,,55.22580905578614,1737.0755314387934,sectors,303.0
-5185.736328125,-5089.1943359375,7,,143.59797762746922,1947.569938815399,sectors,303.0
-3191.151611328125,-5244.8095703125,8,,-37.91995109964812,2402.9484823749176,sectors,303.0
-3353.859375,-3409.153564453125,9,,23.61029040831374,2634.9916546820928,sectors,303.0
-4001.605712890625,-1937.0498046875,10,,-152.91052616465004,2798.0139109208203,sectors,303.0
-3371.041748046875,-446.0976867675781,11,,114.13418802209776,2970.0758412337354,sectors,303.0
-125.55014038085938,1171.6646728515625,12,,-64.08817369089819,3348.135429911639,sectors,303.0
-758.6253051757812,1939.8748779296875,13,,117.9624498435387,3639.1633880213253,sectors,303.0
-1358.440673828125,1930.0140380859375,14,,-112.6926286089195,3699.8532562654564,sectors,303.0
-623.212646484375,3497.044189453125,15,,126.34793927045594,3913.459386853567,sectors,303.0
553.2977294921875,3256.26611328125,16,,-128.48537820290298,4058.3349708761702,sectors,303.0
1676.203125,3097.84765625,17,,55.41214384654979,4181.051088835977,sectors,303.0
