X,Y,Number,Letter,Angle,Distance,Type,Rotation
-7381.10693359375,-4719.94921875,1,,140.3846313043515,197.65092894543892,corners,315.0
-3634.549072265625,-3769.346435546875,2,,103.01511724015117,598.0323711779606,corners,315.0
-2275.6494140625,-3071.90087890625,3,,168.94984234500842,753.3283539896017,corners,315.0
-2745.11328125,-1956.1094970703125,4,,-174.39625672702851,882.2649405873642,corners,315.0
-1422.224853515625,-197.89369201660156,5,,76.19105663205922,1104.4899235352996,corners,315.0
-797.2467651367188,-1127.089111328125,6,,-85.86275308686861,1227.47662047736,corners,315.0
-1016.8847045898438,-477.5965576171875,7,,-14.461416055118015,1309.9783016585943,corners,315.0
-271.22930908203125,-251.0789794921875,8,,44.79949514192601,1390.4150677973455,corners,315.0
-1126.0921630859375,-3321.8916015625,9,,125.0997533777758,1726.673185937386,corners,315.0
-4159.9892578125,-4441.59521484375,10,,144.84561051048868,2055.0913862970724,corners,315.0
-4579.203125,-4621.61669921875,11,,-103.72939595631462,2109.5069871495975,corners,315.0
-6814.4267578125,-4914.705078125,12,,-54.9625873658003,2329.9583590880015,corners,315.0
-7167.99951171875,-6327.60107421875,13,,-155.76249696113177,2484.7846775415155,corners,315.0
-6992.05419921875,-6563.8642578125,14,,21.944069983276485,2512.4617868931928,corners,315.0
-6752.3818359375,-7870.388671875,15,,-10.762562523217996,2654.335548683611,corners,315.0
-6875.2265625,-8042.5830078125,16,,153.79114079774385,2668.9715134144185,corners,315.0
-6723.556640625,-8744.119140625,17,,27.71185341167223,2743.0655031554625,corners,315.0
-5928.0,-9572.421875,18,,-7.508149364344431,2863.1839435815345,corners,315.0
-6718.7294921875,-9704.8701171875,19,,-137.085449208191,2954.8273129504814,corners,315.0
-7645.49169921875,-6873.95556640625,1,,-175.9738186795469,3266.2034014164215,lights,315.0
-7587.99853515625,-5363.27294921875,2,,168.876377829847,136.32374420991613,lights,315.0
-5332.49072265625,-4260.33984375,3,,-78.73467122983254,411.64650526400624,lights,315.0
-3822.232666015625,-3818.19287109375,4,,108.10556659275017,582.1730546714147,lights,315.0
-2288.78173828125,-3137.037109375,5,,-11.365811120207791,743.1149622264177,lights,315.0
-2741.660888671875,-1854.304931640625,6,,168.6875169650877,890.2888394547343,lights,315.0
-1691.2279052734375,-377.4324951171875,7,,138.7705229756043,1074.0327014369898,lights,315.0
-915.7832641601562,-1080.649169921875,8,,-136.0327123307099,1215.2375180102563,lights,315.0
-1018.2889404296875,-482.5111999511719,9,,163.33141867587548,1309.9783016585943,lights,315.0
-575.129150390625,-212.4531707763672,10,,100.63620961387517,1358.2473067037115,lights,315.0
-239.89097595214844,-978.4373779296875,11,,-5.890636412723841,1472.956719931039,lights,315.0
-938.8284301757812,-3148.656982421875,12,,-39.528693115083925,1710.6181856370486,lights,315.0
-3260.216552734375,-4273.74658203125,13,,-79.28508111931072,1962.7327332714458,lights,315.0
-5282.45263671875,-4672.9931640625,14,,96.82080994818273,2181.6276067151566,lights,315.0
-7218.17041015625,-5987.18310546875,15,,176.0463064115089,2457.443247678202,lights,315.0
-6746.0,-7753.173828125,16,,0.04037109766412843,2637.760317746139,lights,315.0
-6364.14208984375,-9177.9072265625,17,,-129.12079444485397,2801.3060538596446,lights,315.0
-6542.3583984375,-9763.498046875,18,,-94.53758021760575,2938.5790957215427,lights,315.0
-7367.52587890625,-8253.1455078125,19,,-164.12023842489288,3116.7783323414633,lights,315.0
-7651.708984375,-6792.41650390625,1,,-176.46430856192504,3266.2034014164215,sectors,315.0
-7577.8359375,-5313.1806640625,2,,168.74306455049762,136.32374420991613,sectors,315.0
-5337.5087890625,-4261.31298828125,3,,-78.75016305963199,411.64650526400624,sectors,315.0
-3802.84619140625,-3811.698486328125,4,,109.05228380085687,582.1730546714147,sectors,315.0
-2280.7001953125,-3096.953369140625,5,,-11.507449361594343,753.3283539896017,sectors,315.0
-2746.83984375,-1905.0372314453125,6,,175.13473087715624,882.2649405873642,sectors,315.0
-1701.20703125,-389.0749206542969,7,,141.52915674349433,1065.793052409385,sectors,315.0
-884.8056030273438,-1106.9359130859375,8,,-116.62982860177543,1219.7148655119236,sectors,315.0
-1029.0,-521.7724609375,9,,-171.85193139670085,1304.6582200159633,sectors,315.0
-529.7435302734375,-205.01153564453125,10,,94.75288277119472,1366.0735978833775,sectors,315.0
-247.17433166503906,-1065.0001220703125,11,,-3.8916273197958526,1483.932425789349,sectors,315.0
-994.9605102539062,-3208.025390625,12,,-48.24935399257966,1710.6181856370486,sectors,315.0
-3300.4013671875,-4281.31103515625,13,,-79.63624458329572,1962.7327332714458,sectors,315.0
-5247.0595703125,-4667.74951171875,14,,-81.1781468666594,2170.54706432528,sectors,315.0
-7211.8193359375,-5869.83203125,15,,175.60638027155414,2443.9355587878276,sectors,315.0
-6746.0,-7758.28515625,16,,-0.6086226756478406,2637.760317746139,sectors,315.0
-6379.60009765625,-9164.525390625,17,,49.353602807936426,2801.3060538596446,sectors,315.0
-6465.84765625,-9767.0,18,,-88.65650132934277,2932.607004196293,sectors,315.0
-7368.9658203125,-8248.2412109375,19,,-163.3713782125735,3116.7783323414633,sectors,315.0
