X,Y,Number,Letter,Angle,Distance,Type,Rotation
3743.505950560483,-4013.3678672920078,1,,-44.65195695742783,630.6710830442016,corners,0.0
3414.022004158147,-1696.4977152979786,2,,-200.3469641110752,887.1581285562055,corners,0.0
5395.315371904974,-54.73041858963802,3,,-43.71563655008453,1142.527133852001,corners,0.0
5846.153185134,682.4340137004386,4,,141.14534006324735,1236.914828411261,corners,0.0
6609.267124870705,1281.73631572348,5,,-30.322413912880773,1330.173752863872,corners,0.0
7165.299058163059,2448.096460587591,6,,129.91658034908926,1464.5178456739932,corners,0.0
9287.59816520198,2343.861924048018,7,,-75.27417115433745,1697.6233047152691,corners,0.0
10475.25965605229,3267.2329941228463,8,,94.00044337982348,1845.5156983164543,corners,0.0
11266.63987279964,2843.723967841445,9,,-109.78937699733613,1945.5282358590498,corners,0.0
13265.495253457295,3339.9514603285365,10,,-57.57904768880108,2148.3457221286094,corners,0.0
15557.826820202115,6316.789651088751,11,,32.93557808140348,2528.833153941212,corners,0.0
4025.1148393632216,3996.419189060194,12,,-215.09380810399114,3721.414367890101,corners,0.0
4941.5833838497,2058.1670910820194,13,,-35.26644068702872,3959.9042434483777,corners,0.0
4279.206066924415,2035.9921472841122,14,,-125.80171331872026,4032.8087203468594,corners,0.0
2856.971820674472,3037.7723595471184,15,,-205.71642813601727,4230.513321483006,corners,0.0
3693.059720660606,1427.1712545632547,16,,-166.36228991817734,4420.401332800716,corners,0.0
3320.2825975725164,212.0593181515851,17,,-49.84976314365157,4558.210258061063,corners,0.0
2005.0009056930412,-12.105512097587734,18,,-104.60865513920405,4699.767755222934,corners,0.0
45.34517859774405,1887.2539478629997,19,,74.12689300139989,4983.7184885956185,corners,0.0
-2544.6723020443987,618.3306286295765,20,,-171.08009883185278,5288.233240409363,corners,0.0
-1396.0001219491005,-340.000190230573,1,,-133.02419367521347,5439.190795182121,lights,0.0
1150.7883923249328,-2293.8390086986437,2,,-127.03186319375203,320.4789668587386,lights,0.0
2754.708134538498,-3526.165866946538,3,,-127.26016448757505,525.8628211927278,lights,0.0
3708.7869313023293,-3302.6293855470003,4,,22.065715538434354,704.6783545909869,lights,0.0
4833.366385789422,-510.4756861374176,5,,123.55259470214477,1083.1060596752925,lights,0.0
7001.653526242539,2288.436586239408,6,,140.30761924731317,1448.7831140004323,lights,0.0
8259.242672783184,2677.5052080869727,7,,-110.1599065635833,1579.1456980351177,lights,0.0
10274.526775688635,3204.2109039316774,8,,-61.385083896183104,1826.087614650782,lights,0.0
12150.918186558649,2922.5808777630787,9,,-75.5388806058796,2033.7627574556514,lights,0.0
14954.303895701003,5315.554567190815,10,,-40.62751391384808,2409.316001456459,lights,0.0
14046.948982187701,6061.364293016632,11,,108.72035253492558,2693.850077758038,lights,0.0
12130.197040297688,5458.954780980613,12,,-74.77003030201377,2898.9619297925674,lights,0.0
9493.288341681437,4837.442598016159,13,,-78.48361558134054,3162.1627939290192,lights,0.0
5109.111075862739,4244.400913874677,14,,94.95479197569642,3597.6053822742933,lights,0.0
4705.432555913012,2927.567477155677,15,,-134.82703559685643,3863.920334587738,lights,0.0
3849.4558446134647,2630.360876229517,16,,-154.09610197145946,4102.5537517791845,lights,0.0
3655.846524247678,1570.7164278372782,17,,15.887146996534376,4413.185453144393,lights,0.0
3398.998206426035,283.0747060303545,18,,-47.860129237785316,4548.65636530334,lights,0.0
569.4303292231589,1499.8311030439586,19,,41.19004978349393,4917.292138779769,lights,0.0
-2063.6926263076457,1159.687501770266,20,,113.69403248073493,5204.521294506467,lights,0.0
-1395.9999428336614,-339.9998880040589,1,,-129.89761122646271,5439.190795182121,sectors,0.0
1005.9339762559948,-2183.0999545976024,2,,-127.75734752013476,297.7313110285111,sectors,0.0
2801.859435332803,-3562.246381714479,3,,-127.99141452105931,525.8628211927278,sectors,0.0
3607.5449765755793,-3083.174665760519,4,,25.447870808711798,733.6380091797556,sectors,0.0
4865.193083047778,-489.4075042456748,5,,123.60522299088177,1083.1060596752925,sectors,0.0
6967.410130007838,2239.9688703679885,6,,-214.7420581914689,1426.5356448000691,sectors,0.0
8183.777322139221,2705.709324447921,7,,72.46563843871145,1579.1456980351177,sectors,0.0
10371.627820031783,3246.2442602312267,8,,-69.6435392737485,1833.556156507774,sectors,0.0
11974.364229769859,2877.0908320072995,9,,-75.89372040320741,2013.0575833934133,sectors,0.0
14864.025881654296,5208.636514069202,10,,-38.892215015599646,2387.8946036624106,sectors,0.0
14198.702811670073,6115.560102835169,11,,110.02947681545487,2673.5120861144496,sectors,0.0
12130.202029141183,5458.957379905564,12,,-74.86936460526314,2898.9619297925674,sectors,0.0
9464.191778768067,4831.5889031234055,13,,-78.71398284302744,3162.1627939290192,sectors,0.0
5239.937335981414,4257.370280589441,14,,95.94992384257051,3597.6053822742933,sectors,0.0
4711.423628448245,2921.5763724016133,15,,-134.67426395987945,3863.920334587738,sectors,0.0
3807.060489906064,2708.6322515295583,16,,-150.9620775205605,4116.600370158979,sectors,0.0
3654.673361180795,1574.8051868376372,17,,15.742706657794152,4413.185453144393,sectors,0.0
3373.820398151395,260.3594012150784,18,,-47.959798578441045,4558.210258061063,sectors,0.0
434.8275536531346,1646.517029020194,19,,44.09467510059531,4931.912475906865,sectors,0.0
-1966.670764936276,1202.3206719409118,20,,112.99497985434672,5187.841552828671,sectors,0.0
